ticker,Jumlah,Kategori,Nama,Pengendali,Persentase
BULL,688645038.0,Lebih dari 5%,"CRED SUISSE AG,DUB BR-CL SEC-OMNIBUS NON-TR ACC-2051204002",False,5.811
BUMI,14845151178.0,Lebih dari 5%,HSBC-FUND SVS A/C CHENGDONG ,True,22.023
BUVA,1702818712.0,Lebih dari 5%,PT ASIA LEISURE NETWORK,True,25.0
BVIC,4240989642.0,Lebih dari 5%,PT Victoria Investama Tbk,True,47.38
BWPT,11886121516.0,Lebih dari 5%,PT Rajawali Capital Internasional,True,37.7
BYAN,1798731400.0,Lebih dari 5%,DATO'            DR LOW TUCK KWONG,True,53.96
CAKK,356200000.0,Lebih dari 5%,PT Marissi Idola Sumber Sejahtera,True,29.602
CAMP,4940010100.0,Lebih dari 5%,Sabana Prawirawidjaja,True,83.94
CANI,300038400.0,Lebih dari 5%,PT Cipta Nusantara Abadi,True,36.0
CARE,23249999999.0,Lebih dari 5%,PT Anugrah Kasih Rajawali,True,69.924
CARS,2310060048.0,Lebih dari 5%,PT Ahabe Niaga Selaras,True,15.4
CASA,0.0,Lebih dari 5%,VANKO INVESTMENT LIMITED,False,0.0
CASH,348124440.0,Lebih dari 5%,Tee Teddy Setiawan,True,24.3784
CASS,451830800.0,Lebih dari 5%,SATS Investment (II) Pte Ltd,False,21.65
CBMF,1270000000.0,Lebih dari 5%,PT Richiwa Sakti Indonesia,True,68.0
CCSI,392267136.0,Lebih dari 5%,PT Grahatama Kreasibaru,True,39.22
CEKA,517771000.0,Lebih dari 5%,PT Sentratama Niaga Indonesia,True,87.02
CENT,13037113868.0,Lebih dari 5%,Clover Universal Enterprise Ltd,True,41.808
CFIN,2051421264.0,Lebih dari 5%,PT. BANK PAN INDONESIA,True,51.48
CINT,702170000.0,Lebih dari 5%,PT Tritirta Inti Mandiri,True,70.217
CITA,2459357798.0,Lebih dari 5%,PT Harita Jayaraya,True,62.099
CITY,2778947000.0,Lebih dari 5%,PT Sentul City Tbk,True,51.44
CLAY,1998750000.0,Lebih dari 5%,PT Citra Putra Mandiri,True,77.77
CLEO,6694900000.0,Lebih dari 5%,PT Tancorp Global  Abadi,True,55.79
CLPI,20364500.0,Lebih dari 5%,CHANDRA NATALIE WIDJAJA,False,6.6477
CMNP,1982538261.0,Lebih dari 5%,BP2S SG/BNP PARIBAS  WEALTH MANAGEMENT SINGAPORE BRANCH,False,54.75
CMPP,5252540000.0,Lebih dari 5%,PT Fersindo Nusaperkasa,True,49.16
CNKO,862427925.0,Lebih dari 5%,PT Saibatama Internasional Mandiri,True,9.63
CNTX,23941000.0,Lebih dari 5%,PT. Prospect Motor,False,12.0
COCO,251600000.0,Lebih dari 5%,PT Inter Jaya Corpora,True,44.91
COWL,395470500.0,Lebih dari 5%,Earvin Limited,False,8.12
CPIN,9106385410.0,Lebih dari 5%,PT Charoen Pokphand Indonesia Group,True,55.53
CPRI,1732500000.0,Lebih dari 5%,PT RDW Global Investasi d/h PT Indigo Super Mekani,True,71.2
CPRO,7751901498.0,Lebih dari 5%,UOB Kay Hian Pte Ltd ,False,13.01
CSAP,1427059424.0,Lebih dari 5%,PT BUANATATA ADISENTOSA,True,32.009
CSIS,748000000.0,Lebih dari 5%,PT Andalan Utama Bintara,True,57.23
CSMI,458200000.0,Lebih dari 5%,Lisa Mucthar,True,56.15
CSRA,779000000.0,Lebih dari 5%,PT Sapta Sawit Lestari,True,38.0
CTBN,268000000.0,Lebih dari 5%,VALLOUREC TUBES,True,33.48
CTRA,9794373998.0,Lebih dari 5%,PT Sang Pelopor,True,52.77
CTTH,86472558.0,Lebih dari 5%,Advance Capital Ltd,True,7.03
DADA,4995000000.0,Lebih dari 5%,PT Karya Permata Inovasi Indonesia,True,69.6
DART,1492409134.0,Lebih dari 5%,HARTADI ANGKOSUBROTO,False,47.51
DAYA,1788029003.0,Lebih dari 5%,TOTAL ALLIANCE HOLDINGS LIMITED,True,73.869
DEAL,754871800.0,Lebih dari 5%,PT Bimada Paramita Adhyana,True,66.64
DEFI,143756666.0,Lebih dari 5%,"Intan Sakti Wiratama, PT",True,20.92
DEWA,3815217000.0,Lebih dari 5%,Goldwave Capital Limited,False,17.458
DFAM,134032800.0,Lebih dari 5%,Reksa Dana Narada Saham Indonesia,False,7.1
DGIK,516534000.0,Lebih dari 5%,Rezeki Segitiga Emas,False,9.32
DIGI,95070400.0,Lebih dari 5%,Iwa Sukresno Karunia,False,29.25
DILD,1555077500.0,Lebih dari 5%,CGS-CIMB Securities (Singapore) Pte ltd ,True,15.0
DIVA,150000000.0,Lebih dari 5%,PT 1 Inti Dot Com,True,21.0
DKFT,4090642050.0,Lebih dari 5%,PT Jinsheng Mining,True,72.55
DLTA,467061150.0,Lebih dari 5%,SAN MIGUEL MALAYSIA,True,58.33
DMAS,12049527800.0,Lebih dari 5%,Sojitz Corporation ,True,25.0
DMMX,1688597700.0,Lebih dari 5%,PT NFC Indonesia Tbk.,True,21.95
