ticker,AkhirPeriode,KAP1,Nama,SigningPartner,TahunBuku,TanggalTahunBuku,TglOpini
PANI,1911-01-01T00:00:00,,"Doli, Bambang, Sulistiyanto, Dadang & Ali",,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
PANR,,,,,,,
PANS,,,,,,,
PBID,1911-01-01T00:00:00,,"Paul Hadiwinata, Hidajat, Arsono, Retno, Palilingan & Rekan",,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
PBRX,,,,,,,
PBSA,,,,,,,
PCAR,,,,,,,
PDES,,,,,,,
PEGE,,,,,,,
PEHA,1911-01-01T00:00:00,,"Amir Abadi Jusuf, Aryanto, Mawar & Rekan",,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
PGAS,,,,,,,
PGJO,1911-01-01T00:00:00,,Mirawati Sensi Idris,,0.0,2019-06-30T00:00:00,1911-01-01T00:00:00
PGLI,,,,,,,
PGUN,1911-01-01T00:00:00,,"Kanaka Puradiredja, Suhartono",,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
PICO,,,,,,,
PJAA,,,,,,,
PKPK,,,,,,,
PLAS,,,,,,,
PLIN,,,,,,,
PMJS,1911-01-01T00:00:00,,Tanubrata Sutanto Fahmi Bambang dan Rekan,,0.0,2019-06-30T00:00:00,1911-01-01T00:00:00
PNBN,,,,,,,
PNBS,,,,,,,
PNGO,1911-01-01T00:00:00,,"Kosasih, Nurdiyaman, Mulyadi, Tjahjo & Rekan",,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
PNIN,,,,,,,
PNLF,,,,,,,
PNSE,,,,,,,
POLA,,,,,,,
POLI,,,,,,,
POLL,,,,,,,
POLU,,,,,,,
POLY,,,,,,,
POOL,,,,,,,
PORT,1911-01-01T00:00:00,,"Amir Abadi Jusuf, Aryanto, Mawar & Rekan",,0.0,2020-12-31T00:00:00,1911-01-01T00:00:00
POSA,1911-01-01T00:00:00,,"Kanaka Puradiredja, Suhartono",,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
POWR,,,,,,,
PPGL,1911-01-01T00:00:00,,Heliantono & Rekan,,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
PPRE,,,,,,,
PPRO,,,,,,,
PRAS,,,,,,,
PRDA,1911-01-01T00:00:00,,"Purwantono, Sungkoro & Surja",,0.0,2020-12-31T00:00:00,1911-01-01T00:00:00
PRIM,,,,,,,
PSAB,,,,,,,
PSDN,,,,,,,
PSGO,,,,,,,
PSKT,,,,,,,
PSSI,,,,,,,
PTBA,,,,,,,
PTIS,,,,,,,
PTPP,,,,,,,
PTPW,1911-01-01T00:00:00,,"Jamaludin, Ardi, Sukimto & Rekan",,0.0,2019-07-31T00:00:00,1911-01-01T00:00:00
PTRO,,,,,,,
PTSN,,,,,,,
PTSP,,,,,,,
PUDP,,,,,,,
PURA,1911-01-01T00:00:00,,"Jamaludin, Ardi, Sukimto & Rekan",,0.0,2019-07-31T00:00:00,1911-01-01T00:00:00
PURE,1911-01-01T00:00:00,,"Kanaka Puradiredja, Suhartono",,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
PURI,1911-01-01T00:00:00,,Rama Wendra,,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
PWON,,,,,,,
PYFA,,,,,,,
PZZA,,,,,,,
RAJA,,,,,,,
RALS,,,,,,,
RANC,,,,,,,
RBMS,,,,,,,
RDTX,,,,,,,
REAL,,,,,,,
RELI,,,,,,,
RICY,,,,,,,
RIGS,,,,,,,
RIMO,,,,,,,
RISE,1911-01-01T00:00:00,,"Teramihardja, Pradhono & Chandra",,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
RMBA,,,,,,,
ROCK,1911-01-01T00:00:00,,"Herman, Dody Tanumihardja & Rekan",,0.0,2020-08-25T00:00:00,1911-01-01T00:00:00
RODA,,,,,,,
RONY,1911-01-01T00:00:00,,"Herman, Dody Tanumihardja & Rekan",,0.0,2019-09-30T00:00:00,1911-01-01T00:00:00
ROTI,,,,,,,
RUIS,,,,,,,
SAFE,,,,,,,
SAME,,,,,,,
SAMF,1911-01-01T00:00:00,,"Paul Hadiwinata, Hidajat, Arsono, Retno, Palilingan & Rekan",,0.0,2019-09-30T00:00:00,1911-01-01T00:00:00
SAPX,,,,,,,
SATU,1911-01-01T00:00:00,,Arief Jauhari,,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
SBAT,1911-01-01T00:00:00,,Morhan & Rekan,,0.0,2019-09-30T00:00:00,1911-01-01T00:00:00
SCCO,,,,,,,
SCMA,,,,,,,
SCNP,1911-01-01T00:00:00,,Tanubrata Sutanto Fahmi Bambang dan Rekan,,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
SCPI,,,,,,,
SDMU,,,,,,,
SDPC,,,,,,,
SDRA,,,,,,,
SFAN,,,,,,,
SGER,1911-01-01T00:00:00,,Morhan & Rekan,,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
SGRO,,,,,,,
SHID,,,,,,,
SHIP,,,,,,,
SIDO,,,,,,,
SILO,,,,,,,
SIMA,,,,,,,
SIMP,,,,,,,
SINI,1911-01-01T00:00:00,,"Doli, Bambang, Sulistiyanto, Dadang & Ali",,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
SIPD,,,,,,,
SKLT,,,,,,,
SKRN,1911-01-01T00:00:00,,Tanubrata Sutanto Fahmi Bambang dan Rekan,,0.0,2020-12-31T00:00:00,1911-01-01T00:00:00
SKYB,,,,,,,
SLIS,1911-01-01T00:00:00,,Rama Wendra,,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
SMAR,,,,,,,
SMBR,,,,,,,
SMCB,,,,,,,
SMDM,,,,,,,
SMDR,,,,,,,
SMGR,,,,,,,
SMKL,,,,,,,
SMMA,,,,,,,
SMMT,,,,,,,
SMRA,,,,,,,
SMRU,,,,,,,
SMSM,,,,,,,
SOCI,,,,,,,
SOFA,1911-01-01T00:00:00,,"Doli, Bambang, Sulistiyanto, Dadang & Ali",,0.0,2019-11-30T00:00:00,1911-01-01T00:00:00
SOHO,1911-01-01T00:00:00,,"Purwantono, Sungkoro & Surja",,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
SONA,,,,,,,
SOSS,,,,,,,
SOTS,1911-01-01T00:00:00,,Heliantono & Rekan,,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
SPMA,,,,,,,
SPOT,,,,,,,
SPTO,,,,,,,
SQMI,,,,,,,
SRAJ,,,,,,,
SRIL,,,,,,,
SRSN,,,,,,,
SRTG,,,,,,,
SSIA,,,,,,,
SSMS,,,,,,,
SSTM,,,,,,,
STAR,,,,,,,
STTP,,,,,,,
SUDI,1911-01-01T00:00:00,,"Doli, Bambang, Sulistiyanto, Dadang & Ali",,0.0,2018-12-31T00:00:00,1911-01-01T00:00:00
SUGI,,,,,,,
SULI,,,,,,,
SUPR,,,,,,,
SURE,,,,,,,
SWAT,1911-01-01T00:00:00,,Heliantono & Rekan,,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
TAMA,1911-01-01T00:00:00,,"Kanaka Puradiredja, Suhartono",,0.0,2019-07-31T00:00:00,1911-01-01T00:00:00
TAMU,1911-01-01T00:00:00,,Rama Wendra,,0.0,2020-12-31T00:00:00,1911-01-01T00:00:00
TARA,,,,,,,
TAXI,,,,,,,
TBIG,,,,,,,
TBLA,,,,,,,
TBMS,,,,,,,
TCID,,,,,,,
TCPI,1911-01-01T00:00:00,,"Paul Hadiwinata, Hidajat, Arsono , Ade Fatma, & Rekan",,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
TDPM,,,,,,,
TEBE,,,,,,,
TECH,1911-01-01T00:00:00,,"Kosasih, Nurdiyaman, Mulyadi, Tjahjo & Rekan",,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
TELE,,,,,,,
TFAS,,,,,,,
TFCO,,,,,,,
TGKA,,,,,,,
TGRA,,,,,,,
TIFA,,,,,,,
TINS,,,,,,,
TIRA,,,,,,,
TIRT,,,,,,,
TKIM,,,,,,,
TLKM,,,,,,,
TMAS,,,,,,,
TMPO,,,,,,,
TNCA,,,,,,,
TOBA,,,,,,,
TOPS,1911-01-01T00:00:00,,"Amir Abadi Jusuf, Aryanto, Mawar & Rekan",,0.0,2019-09-30T00:00:00,1911-01-01T00:00:00
TOTL,,,,,,,
TOTO,,,,,,,
TOWR,,,,,,,
TOYS,1911-01-01T00:00:00,,"Doli, Bambang, Sulistiyanto, Dadang & Ali",,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
TPIA,,,,,,,
TPMA,,,,,,,
TRAM,,,,,,,
TRIL,,,,,,,
TRIM,,,,,,,
TRIN,1911-01-01T00:00:00,,Maurice Ganda Nainggolan & Rekan,,0.0,2019-06-30T00:00:00,1911-01-01T00:00:00
TRIO,,,,,,,
TRIS,,,,,,,
TRJA,1911-01-01T00:00:00,,"Kosasih, Nurdiyaman, Mulyadi, Tjahjo & Rekan",,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
TRST,,,,,,,
