No,IndexSummaryID,Date,IndexCode,Previous,Highest,Lowest,Close,NumberOfStock,Change,Volume,Value,Frequency,MarketCapital,Year
17,68819,2015-06-16T00:00:00,BISNIS-27,406.335,414.863,406.189,412.484,27.0,6.149,503503801.0,2415472412200.0,80952.0,2430483479141100.0,2015
18,68820,2015-06-16T00:00:00,PEFINDO25,413.233,420.246,414.536,415.24,25.0,2.007,389523765.0,545044752700.0,21186.0,138887636268644.0,2015
19,68821,2015-06-16T00:00:00,SRI-KEHATI,279.933,284.68,278.874,283.216,25.0,3.283,382944515.0,2075449168030.0,66730.0,2375921581734010.0,2015
20,68822,2015-06-16T00:00:00,ISSI,155.74,157.489,155.486,156.667,314.0,0.927,3571444835.0,3317834326471.0,182434.0,2840077461881830.0,2015
21,68823,2015-06-16T00:00:00,IDX30,427.119,434.715,426.106,431.958,30.0,4.839,791951716.0,3067574611570.0,93097.0,2794184304287360.0,2015
22,68824,2015-06-16T00:00:00,INFOBANK15,523.773,534.431,519.825,531.538,15.0,7.765,166153001.0,1128910472185.0,23786.0,1064617880684230.0,2015
23,68825,2015-06-16T00:00:00,SMinfra18,328.439,332.402,328.457,330.039,18.0,1.6,266125073.0,913725418675.0,37396.0,833904220738070.0,2015
24,68826,2015-06-16T00:00:00,MNC36,257.659,262.168,257.015,260.568,36.0,2.909,935161105.0,2898431241450.0,94535.0,2418795430171000.0,2015
25,68827,2015-06-16T00:00:00,Investor33,338.398,344.105,337.649,342.234,33.0,3.836,724324969.0,2622264289685.0,90803.0,2791326074557480.0,2015
1,68828,2015-06-17T00:00:00,COMPOSITE,4872.599,4955.565,4894.636,4945.753,512.0,73.154,5096843989.0,5009516527894.0,243270.0,5021051520204930.0,2015
2,68829,2015-06-17T00:00:00,AGRI,2073.531,2098.595,2043.271,2046.101,21.0,-27.43,598470000.0,289441492900.0,19365.0,140798011659595.0,2015
3,68830,2015-06-17T00:00:00,MINING,1142.945,1145.745,1134.323,1138.02,41.0,-4.925,569685948.0,149754994125.0,20698.0,212744056140031.0,2015
4,68831,2015-06-17T00:00:00,BASIC-IND,428.025,436.011,429.476,434.526,65.0,6.501,625015555.0,248422359560.0,16961.0,305019621651712.0,2015
5,68832,2015-06-17T00:00:00,MISC-IND,1204.71,1221.471,1197.607,1210.975,41.0,6.265,226759694.0,311594154250.0,12668.0,345113415729669.0,2015
6,68833,2015-06-17T00:00:00,CONSUMER,2156.627,2207.916,2174.767,2199.736,36.0,43.109,78171321.0,273164690610.0,19923.0,1031852660937560.0,2015
7,68834,2015-06-17T00:00:00,PROPERTY,485.71,498.916,489.303,498.77,57.0,13.06,1337528291.0,748686744000.0,51572.0,359194494503192.0,2015
8,68835,2015-06-17T00:00:00,INFRASTRUC,1031.471,1041.073,1031.575,1038.199,52.0,6.728,309028104.0,456188191144.0,24912.0,667809101064170.0,2015
9,68836,2015-06-17T00:00:00,FINANCE,695.208,716.178,699.149,714.465,86.0,19.257,354502295.0,1458731975325.0,31507.0,1284135865941850.0,2015
